MapperAnnotationBuilder.java,org.apache.ibatis.builder.annotation.MapperAnnotationBuilder,org.pitest.mutationtest.engine.gregor.mutators.experimental.RemoveIncrementsMutator,buildSqlSourceFromStrings,403,TIMED_OUT,none
ClassLoaderWrapper.java,org.apache.ibatis.io.ClassLoaderWrapper,org.pitest.mutationtest.engine.gregor.mutators.experimental.RemoveIncrementsMutator,classForName,155,TIMED_OUT,none
ClassLoaderWrapper.java,org.apache.ibatis.io.ClassLoaderWrapper,org.pitest.mutationtest.engine.gregor.mutators.experimental.RemoveIncrementsMutator,getResourceAsStream,103,TIMED_OUT,none
XNode.java,org.apache.ibatis.parsing.XNode,org.pitest.mutationtest.engine.gregor.mutators.experimental.RemoveIncrementsMutator,parseAttributes,349,TIMED_OUT,none
TypeParameterResolver.java,org.apache.ibatis.reflection.TypeParameterResolver,org.pitest.mutationtest.engine.gregor.mutators.experimental.RemoveIncrementsMutator,resolveParameterizedType,177,TIMED_OUT,none
DefaultResultSetHandler.java,org.apache.ibatis.executor.resultset.DefaultResultSetHandler,org.pitest.mutationtest.engine.gregor.mutators.ConstructorCallMutator,<init>,74,NO_COVERAGE,none
DefaultResultSetHandler.java,org.apache.ibatis.executor.resultset.DefaultResultSetHandler,org.pitest.mutationtest.engine.gregor.mutators.ConstructorCallMutator,<init>,76,NO_COVERAGE,none
DefaultResultSetHandler.java,org.apache.ibatis.executor.resultset.DefaultResultSetHandler,org.pitest.mutationtest.engine.gregor.mutators.ConstructorCallMutator,<init>,81,NO_COVERAGE,none
DefaultResultSetHandler.java,org.apache.ibatis.executor.resultset.DefaultResultSetHandler,org.pitest.mutationtest.engine.gregor.mutators.ConstructorCallMutator,<init>,83,NO_COVERAGE,none
DefaultResultSetHandler.java,org.apache.ibatis.executor.resultset.DefaultResultSetHandler,org.pitest.mutationtest.engine.gregor.mutators.ConstructorCallMutator,<init>,86,NO_COVERAGE,none
DefaultResultSetHandler.java,org.apache.ibatis.executor.resultset.DefaultResultSetHandler,org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,<init>,93,NO_COVERAGE,none
DefaultResultSetHandler.java,org.apache.ibatis.executor.resultset.DefaultResultSetHandler,org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,<init>,98,NO_COVERAGE,none
DefaultResultSetHandler.java,org.apache.ibatis.executor.resultset.DefaultResultSetHandler,org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,<init>,99,NO_COVERAGE,none
