googlesamples/android-testing-templates;2;0;2;4
apache/ignite;2640;660;825;4125
dropwizard/metrics;357;89;112;558
trello/RxLifecycle;58;14;20;92
amitshekhariitbhu/RxJava2-Android-Samples;0;0;1;1
sjwall/MaterialTapTargetPrompt;180;45;57;282
alibaba/cobar;99;24;32;155
igniterealtime/Smack;410;102;129;641
apache/cordova-android;5;1;2;8
crossoverJie/JCSprout;32;8;10;50
yarolegovich/DiscreteScrollView;28;7;9;44
alibaba/freeline;1;0;1;2
Vedenin/useful-java-links;6;1;3;10
apache/incubator-druid;2992;748;935;4675
chenenyu/Router;1;0;2;3
ReactiveX/RxNetty;324;81;102;507
jdeferred/jdeferred;35;8;12;55
EhsanTang/ApiManager;0;0;1;1
objectbox/objectbox-java;165;41;52;258
internetarchive/heritrix3;60;15;19;94
swagger-api/swagger-core;0;0;1;1
killme2008/Metamorphosis;299;74;95;468
google/physical-web;34;8;12;54
tdebatty/java-string-similarity;14;3;5;22
android-cjj/JJSearchViewAnim;1;0;1;2
Netflix/archaius;78;19;25;122
alibaba/canal;83;20;28;131
Tamicer/Novate;0;0;1;1
HeZaiJin/SlantedTextView;1;0;1;2
rest-assured/rest-assured;969;242;304;1515
andyxialm/SmoothCheckBox;1;0;1;2
apache/shiro;207;51;66;324
ninjaframework/ninja;631;157;198;986
todotxt/todo.txt-android;0;0;1;1
stephanenicolas/Quality-Tools-for-Android;3;0;3;6
ysc/word;27;6;10;43
mybatis/generator;886;221;278;1385
Ramotion/garland-view-android;1;0;1;2
debezium/debezium;693;173;217;1083
Qihoo360/RePlugin;0;0;1;1
Netflix/curator;19;4;8;31
OpenFeign/feign;334;83;106;523
jenly1314/KingTV;0;0;1;1
lyft/scoop;42;10;15;67
wenmingvs/AndroidProcess;1;0;1;2
TeamNewPipe/NewPipe;18;4;7;29
weibocom/motan;102;25;33;160
google/tink;476;119;149;744
pedrovgs/Algorithms;305;76;97;478
spotify/docker-client;234;58;74;366
wosyingjun/beauty_ssm;5;1;3;9
Netflix/zuul;13;3;5;21
eclipsesource/J2V8;916;229;287;1432
lettuce-io/lettuce-core;25;6;9;40
yahoo/mysql_perf_analyzer;0;0;1;1
classgraph/classgraph;88;22;29;139
BoltsFramework/Bolts-Android;38;9;13;60
chanjarster/weixin-java-tools;1;0;1;2
johncarl81/parceler;94;23;30;147
Naoki2015/CircleDemo;0;0;1;1
scwang90/SmartRefreshLayout;3;0;2;5
HotswapProjects/HotswapAgent;69;17;22;108
apache/camel;11507;2876;3597;17980
FabianTerhorst/Isometric;0;0;1;1
powermock/powermock;609;152;191;952
jonfinerty/Once;12;3;5;20
real-logic/aeron;331;82;105;518
permissions-dispatcher/PermissionsDispatcher;60;15;19;94
r0adkll/Slidr;8;2;3;13
notice501/coolMenu;1;0;1;2
spring-projects/spring-loaded;290;72;92;454
florent37/ViewAnimator;0;0;1;1
baomidou/mybatis-plus;7;1;3;11
qos-ch/logback;652;163;205;1020
evrencoskun/TableView;1;0;1;2
square/moshi;336;84;105;525
RichardWarburton/java-8-lambdas-exercises;91;22;30;143
alibaba/DataX;1;0;2;3
linlinjava/litemall;16;4;5;25
boylegu/SpringBoot-vue;0;0;1;1
iBotPeaches/Apktool;90;22;30;142
w446108264/XhsEmoticonsKeyboard;1;0;1;2
xcltapestry/XCL-Charts;1;0;1;2
mcxiaoke/packer-ng-plugin;7;1;4;12
testcontainers/testcontainers-java;174;43;55;272
Netflix/concurrency-limits;24;6;8;38
androidannotations/androidannotations;368;92;115;575
google/truth;198;49;63;310
chennaione/sugar;214;53;68;335
JakeWharton/u2020;1;0;1;2
biezhi/30-seconds-of-java8;55;13;18;86
fabric8io/docker-maven-plugin;266;66;85;417
sqshq/piggymetrics;33;8;12;53
amaembo/streamex;288;72;90;450
ldoublem/LoadingView;1;0;1;2
syncany/syncany;109;27;35;171
ren93/RecyclerBanner;1;0;1;2
yewei02538/HiPermission;1;0;1;2
orientechnologies/orientdb;2258;564;707;3529
NLPchina/ansj_seg;60;15;19;94
oblac/jodd;8;2;3;13
JesusFreke/smali;174;43;55;272
ShamylZakariya/StickyHeaders;1;0;1;2
RoaringBitmap/RoaringBitmap;1103;275;346;1724
Bukkit/Bukkit;181;45;57;283
